PDGP_ID,GENUS,SPECIES,SUBSPECIES,FAMILY,GEOGRAPHIC_REGION,COMMON_NAME,IUCN_STATUS,THREATENED_STATUS,WILDBORN,SEX,AB_QC,COV_QC,REFERENCE_SPECIES,N_HET,CALLABLE,nRoH_1mb,sRoH_1mb,AVERAGE_COVERAGE,REFERENCE_LENGTH,LOCATION_LONG_LAT,LOCATION_PROXY,COLLTECTION_YEAR,ENA-SRA_SOURCE_PROJECT,ENA-SRA_SAMPLE_ID
PD_0015,Pithecia,vanzolinii,ssp,Pitheciidae,AMERICAS,Vanzolini’s_Bald-faced_Saki,DD,DD,W,M,PASS,PASS,Pithecia_pithecia,3708643,2400774587,33,112800000,32.86,2721439713,"-6.7799,-70.0189",Brazil,NA,PRJEB59576 (this study),ERS12091970
PD_0016,Lagothrix,lagothricha,ssp,Atelidae,AMERICAS,Common_Woolly_Monkey,VU,Threatened,W,M,PASS,PASS,Ateles_geoffroyi,3386157,2305066050,50,68400000,33.73,2683028796,"-6.9485,-69.7299",Brazil,NA,PRJEB59576 (this study),ERS12091954
PD_0017,Leontocebus,nigricollis,ssp,Callitrichidae,AMERICAS,Black_Mantle_Tamarin,LC,Unthreatened,W,F,PASS,PASS,Saguinus_midas,4358897,2347125287,68,122800000,28.44,2968712378,"-2.9543,-68.4239",Brazil,NA,PRJEB59576 (this study),ERS12091957
PD_0018,Cacajao,melanocephalus,ssp,Pitheciidae,AMERICAS,Black-headed_Uacari,LC,Unthreatened,W,M,PASS,PASS,Pithecia_pithecia,2363447,2322888021,52,95000000,32.38,2721439713,"-3.5400,-61.4500",Brazil,NA,PRJEB59576 (this study),ERS12091912
PD_0019,Cacajao,ayresi,ssp,Pitheciidae,AMERICAS,Black-headed_Uacari,LC,Unthreatened,W,F,PASS,PASS,Pithecia_pithecia,1435645,2334966266,327,544600000,33.5,2721439713,"-0.5481,-62.9112",Brazil,NA,PRJEB59576 (this study),ERS12091888
PD_0020,Cacajao,calvus,calvus,Pitheciidae,AMERICAS,Bald-headed_Uacari,VU,Threatened,W,F,PASS,PASS,Pithecia_pithecia,2746418,2328999121,123,205400000,31.44,2721439713,"-2.9118,-64.9346",Brazil,NA,PRJEB59576 (this study),ERS12091891
PD_0021,Cacajao,calvus,rubicundus,Pitheciidae,AMERICAS,Bald-headed_Uacari,VU,Threatened,W,F,PASS,PASS,Pithecia_pithecia,1630975,2331627668,423,1055600000,33.54,2721439713,"-3.2008,-67.4226",Brazil,NA,PRJEB59576 (this study),ERS12091892
PD_0022,Cacajao,ayresi,ssp,Pitheciidae,AMERICAS,Ayres_Black_Uakari,LC,Unthreatened,W,F,PASS,PASS,Pithecia_pithecia,1488346,2335526502,300,474600000,33.74,2721439713,"-0.3857,-62.9523",Brazil,NA,PRJEB59576 (this study),ERS12091889
PD_0023,Cacajao,calvus,novaesi,Pitheciidae,AMERICAS,Bald-headed_Uacari,VU,Threatened,W,F,PASS,PASS,Pithecia_pithecia,3028649,2334983201,47,69000000,35.96,2721439713,NA,Brazil,NA,PRJEB59576 (this study),ERS12091893
PD_0024,Cacajao,calvus,calvus,Pitheciidae,AMERICAS,Bald-headed_Uacari,VU,Threatened,W,F,PASS,PASS,Pithecia_pithecia,2760694,2326725353,112,210200000,32.42,2721439713,"-3.0650,-64.8444",Brazil,NA,PRJEB59576 (this study),ERS12091894
PD_0025,Alouatta,seniculus,ssp,Atelidae,AMERICAS,Colombian_Red_Howler_Monkey,LC,Unthreatened,W,F,PASS,PASS,Ateles_geoffroyi,4975118,2203325874,69,120800000,33.04,2683028796,"0.0878,-66.8222",Brazil,NA,PRJEB59576 (this study),ERS12091855
PD_0026,Alouatta,puruensis,ssp,Atelidae,AMERICAS,Purús_Red_Howler_Monkey,VU,Threatened,W,F,PASS,PASS,Ateles_geoffroyi,3599193,2183314558,161,364000000,31.24,2683028796,NA,Brazil,NA,PRJEB59576 (this study),ERS12091849
PD_0027,Alouatta,discolor,ssp,Atelidae,AMERICAS,Spixs_Red-handed_Howler_Monkey,VU,Threatened,W,F,PASS,PASS,Ateles_geoffroyi,5420988,2180322195,2,2200000,29.02,2683028796,"-3.4359,-55.2369",Brazil,NA,PRJEB59576 (this study),ERS12091837
PD_0028,Allenopithecus,nigroviridis,ssp,Cercopithecidae,MAINLAND_AFRICA,Allens_Swamp_Monkey,LC,Unthreatened,W,M,PASS,PASS,Chlorocebus_aethiops,2957987,2391844474,108,170400000,31.35,2823243693,NA,NA,1979,PRJEB59576 (this study),ERS14600172
PD_0029,Allochrocebus,lhoesti,ssp,Cercopithecidae,MAINLAND_AFRICA,LHoests_Monkey,VU,Threatened,U,F,PASS,PASS,Chlorocebus_aethiops,6137830,2422318189,96,342800000,30.09,2823243693,NA,NA,1978,PRJEB59576 (this study),ERS14600173
PD_0030,Allochrocebus,preussi,ssp,Cercopithecidae,MAINLAND_AFRICA,Preuss’s_Monkey,EN,Threatened,W,F,PASS,PASS,Chlorocebus_aethiops,7207080,2412708198,114,221600000,29.16,2823243693,NA,NA,1985,PRJEB59576 (this study),ERS14600174
PD_0031,Allochrocebus,solatus,ssp,Cercopithecidae,MAINLAND_AFRICA,Sun-tailed_Monkey,NT,Unthreatened,U,M,PASS,PASS,Chlorocebus_aethiops,8111551,2366147578,114,454800000,26.61,2823243693,NA,Gabon,2012,PRJEB59576 (this study),ERS14600175
PD_0032,Cercopithecus,ascanius,schmidti,Cercopithecidae,MAINLAND_AFRICA,Red-tailed_Monkey,LC,Unthreatened,U,F,PASS,PASS,Cercopithecus_albogularis,17007825,2367084367,17,70000000,30.38,2793076453,NA,NA,2013,PRJEB59576 (this study),ERS14600176
PD_0033,Cercopithecus,nictitans,nictitans,Cercopithecidae,MAINLAND_AFRICA,Putty-nosed_Monkey,NT,Unthreatened,W,M,PASS,PASS,Cercopithecus_albogularis,11136559,2400371227,5,7400000,31.59,2793076453,NA,NA,2013,PRJEB59576 (this study),ERS14600177
PD_0034,Erythrocebus,patas,ssp,Cercopithecidae,MAINLAND_AFRICA,Patas_Monkey,NT,Unthreatened,U,M,PASS,PASS,Erythrocebus_patas,3728219,2395667551,24,48600000,23.4,3096929461,NA,NA,2005,PRJEB59576 (this study),ERS14600178
PD_0035,Hylobates,klossii,ssp,Hylobatidae,ASIA,Kloss’s_Gibbon,EN,Threatened,W,M,PASS,PASS,Nomascus_siki,3134339,2332770110,25,42800000,31.62,2783107017,NA,"Siberut Island, Indonesia",2006,PRJEB59576 (this study),ERS14600179
PD_0036,Hylobates,abbotti,ssp,Hylobatidae,ASIA,Abbott’s_Gray_Gibbon,EN,Threatened,W,M,PASS,PASS,Nomascus_siki,7574885,2302633643,36,79000000,30.52,2783107017,NA,"Borneo, Indonesia",2006,PRJEB59576 (this study),ERS14600180
PD_0037,Nomascus,concolor,ssp,Hylobatidae,ASIA,Black_Crested_Gibbon,CR,Threatened,W,M,PASS,PASS,Nomascus_siki,3707687,2075648163,45,169200000,22.06,2783107017,NA,NA,1995,PRJEB59576 (this study),ERS14600181
PD_0038,Presbytis,mitrata,ssp,Cercopithecidae,ASIA,Southern_Mitered_Langur,VU,Threatened,W,F,PASS,PASS,Rhinopithecus_roxellana,4808743,2457449470,57,118200000,31.59,3038460517,NA,NA,2000,PRJEB59576 (this study),ERS14600182
PD_0039,Piliocolobus,badius,ssp,Cercopithecidae,MAINLAND_AFRICA,Western_Red_Colobus,EN,Threatened,W,M,PASS,PASS,Rhinopithecus_roxellana,7286216,2304788522,8,12400000,29.15,3038460517,NA,"Tai Forest, Ivory Coast",1998,PRJEB59576 (this study),ERS14600183
PD_0040,Lophocebus,aterrimus,ssp,Cercopithecidae,MAINLAND_AFRICA,Black_Mangabey,VU,Threatened,W,M,PASS,PASS,Mandrillus_sphinx,5199600,2347201084,40,236000000,29.51,2836346068,NA,NA,1995,PRJEB59576 (this study),ERS14600184
PD_0041,Cercopithecus,cephus,ssp,Cercopithecidae,MAINLAND_AFRICA,Moustached_Monkey,LC,Unthreatened,W,M,PASS,PASS,Cercopithecus_albogularis,17195453,2367315975,11,43000000,28.25,2793076453,NA,Guinea,1998,PRJEB59576 (this study),ERS14600185
PD_0042,Cercopithecus,mona,ssp,Cercopithecidae,MAINLAND_AFRICA,Mona_Monkey,NT,Unthreatened,W,F,PASS,PASS,Cercopithecus_albogularis,8274864,2368617660,11,17200000,28.64,2793076453,NA,NA,2010,PRJEB59576 (this study),ERS14600186
PD_0043,Cercopithecus,lowei,ssp,Cercopithecidae,MAINLAND_AFRICA,Lowes_Monkey,VU,Threatened,W,M,PASS,PASS,Cercopithecus_albogularis,15264502,2362172193,0,0,30.24,2793076453,NA,NA,2010,PRJEB59576 (this study),ERS14600187
PD_0044,Macaca,siberu,ssp,Cercopithecidae,ASIA,Siberut_Macaque,EN,Threatened,W,M,PASS,PASS,Macaca_mulatta,2916764,2531172380,138,441400000,29.36,2955490605,NA,"Siberut Island, Indonesia",1999,PRJEB59576 (this study),ERS14600188
PD_0045,Piliocolobus,gordonorum,ssp,Cercopithecidae,MAINLAND_AFRICA,Udzungwa_Red_Colobus,VU,Threatened,W,M,PASS,PASS,Rhinopithecus_roxellana,2180336,2400622392,225,703200000,28.71,3038460517,"S07.84475, E036.88543","Udzungwa, Tanzania",2016,PRJEB59576 (this study),ERS14600189
PD_0046,Piliocolobus,kirkii,ssp,Cercopithecidae,MAINLAND_AFRICA,Zanzibar_Red_Colobus,EN,Threatened,W,M,PASS,PASS,Rhinopithecus_roxellana,2108069,2388085387,91,195800000,27.69,3038460517,"S06.27107, E039.41913","Zanzibar, Tanzania",2017,PRJEB59576 (this study),ERS14600190
PD_0047,Piliocolobus,tephrosceles,ssp,Cercopithecidae,MAINLAND_AFRICA,Ashy_Red_Colobus,EN,Threatened,W,M,PASS,PASS,Rhinopithecus_roxellana,2686421,2400679718,83,162200000,29.42,3038460517,"S06.03037, E029.74412","Mahale, Tanzania",2016,PRJEB59576 (this study),ERS14600191
PD_0048,Trachypithecus,crepusculus,ssp,Cercopithecidae,ASIA,NO_DATA,DD,DD,W,F,PASS,PASS,Rhinopithecus_roxellana,2448057,2459281686,233,548400000,29.59,3038460517,NA,Vietnam,1997,PRJEB59576 (this study),ERS14600192
PD_0049,Hylobates,muelleri,ssp,Hylobatidae,ASIA,Bornean_Gibbon,EN,Threatened,W,M,PASS,PASS,Nomascus_siki,6641045,2337889356,77,161600000,32.23,2783107017,NA,"Borneo, Indonesia",1997,PRJEB59576 (this study),ERS14600193
PD_0050,Hylobates,agilis,ssp,Hylobatidae,ASIA,Agile_Gibbon,EN,Threatened,C,F,PASS,PASS,Nomascus_siki,6403346,2334251988,0,0,33.68,2783107017,NA,NA,2013,PRJEB59576 (this study),ERS14600194
PD_0051,Nomascus,gabriellae,ssp,Hylobatidae,ASIA,Red-cheeked_Gibbon,EN,Threatened,C,F,PASS,PASS,Nomascus_siki,4075049,2379503177,26,44600000,30.44,2783107017,NA,NA,2011,PRJEB59576 (this study),ERS14600195
PD_0052,Presbytis,comata,ssp,Cercopithecidae,ASIA,Javan_Surili,EN,Threatened,C,F,PASS,PASS,Rhinopithecus_roxellana,3236998,2453854892,47,68400000,31.01,3038460517,NA,NA,1999,PRJEB59576 (this study),ERS14600196
PD_0053,Trachypithecus,auratus,ssp,Cercopithecidae,ASIA,Spangled_Ebony_Langur,VU,Threatened,C,M,PASS,PASS,Rhinopithecus_roxellana,2687478,2456374200,44,296000000,25.96,3038460517,NA,NA,2003,PRJEB59576 (this study),ERS14600197
PD_0054,Trachypithecus,francoisi,ssp,Cercopithecidae,ASIA,François’s_Langur,EN,Threatened,C,M,PASS,PASS,Rhinopithecus_roxellana,2130408,2425387485,18,27400000,19.65,3038460517,NA,NA,1999,PRJEB59576 (this study),ERS14600198
PD_0055,Colobus,polykomos,ssp,Cercopithecidae,MAINLAND_AFRICA,King_Colobus,EN,Threatened,C,F,PASS,PASS,Colobus_guereza,6270141,2462235897,74,460000000,25.98,2963502603,NA,NA,1998,PRJEB59576 (this study),ERS14600199
PD_0056,Colobus,guereza,ssp,Cercopithecidae,MAINLAND_AFRICA,Guereza,LC,Unthreatened,C,M,PASS,PASS,Colobus_guereza,3299516,2483717329,115,468800000,28.52,2963502603,NA,NA,1998,PRJEB59576 (this study),ERS14600200
PD_0057,Mandrillus,sphinx,ssp,Cercopithecidae,MAINLAND_AFRICA,Mandrill,VU,Threatened,C,M,PASS,PASS,Mandrillus_sphinx,10854843,2401129275,45,111200000,32.3,2836346068,NA,NA,1995,PRJEB59576 (this study),ERS14600201
PD_0058,Cercopithecus,neglectus,ssp,Cercopithecidae,MAINLAND_AFRICA,De_Brazza’s_Monkey,LC,Unthreatened,C,M,PASS,PASS,Cercopithecus_albogularis,3526968,2345253413,213,418400000,28.89,2793076453,NA,NA,1997,PRJEB59576 (this study),ERS14600202
PD_0059,Cercopithecus,diana,ssp,Cercopithecidae,MAINLAND_AFRICA,Diana_Monkey,EN,Threatened,C,M,PASS,PASS,Cercopithecus_albogularis,11165353,2336754060,26,95600000,31.44,2793076453,NA,NA,1999,PRJEB59576 (this study),ERS14600203
PD_0060,Cercopithecus,hamlyni,ssp,Cercopithecidae,MAINLAND_AFRICA,Owl-faced_Monkey,VU,Threatened,C,F,PASS,PASS,Cercopithecus_albogularis,11058331,2300791758,0,0,30.94,2793076453,NA,NA,1998,PRJEB59576 (this study),ERS14600204
PD_0061,Cercopithecus,mitis,monoides,Cercopithecidae,MAINLAND_AFRICA,NO_ENTRY,LC,Unthreatened,C,F,PASS,PASS,Cercopithecus_albogularis,3919948,2293802477,134,439600000,22.02,2793076453,NA,NA,1995,PRJEB59576 (this study),ERS14600205
PD_0062,Erythrocebus,patas,ssp,Cercopithecidae,MAINLAND_AFRICA,Patas_Monkey,NT,Unthreatened,C,M,PASS,PASS,Erythrocebus_patas,4296756,2405394117,0,0,25.02,3096929461,NA,NA,2002,PRJEB59576 (this study),ERS14600206
PD_0063,Semnopithecus,vetulus,ssp,Cercopithecidae,ASIA,Purple-faced_Langur,EN,Threatened,C,M,PASS,PASS,Rhinopithecus_roxellana,5323982,2421244011,31,89000000,27.75,3038460517,NA,NA,1998,PRJEB59576 (this study),ERS14600207
PD_0064,Trachypithecus,obscurus,ssp,Cercopithecidae,ASIA,Spectacled_Leaf_Monkey,EN,Threatened,C,M,PASS,PASS,Rhinopithecus_roxellana,4686885,2450810192,2,4000000,28.94,3038460517,NA,NA,1997,PRJEB59576 (this study),ERS14600208
PD_0065,Semnopithecus,johnii,ssp,Cercopithecidae,ASIA,Nilgiri_Langur,VU,Threatened,C,M,PASS,PASS,Rhinopithecus_roxellana,4728402,2455910681,85,484400000,28.1,3038460517,NA,NA,1995,PRJEB59576 (this study),ERS14600209
PD_0066,Cercopithecus,ascanius,schmidti,Cercopithecidae,MAINLAND_AFRICA,Red-tailed_Monkey,LC,Unthreatened,W,F,PASS,PASS,Cercopithecus_albogularis,16504759,2329468441,17,70000000,26.71,2793076453,NA,NA,2002,PRJEB59576 (this study),ERS14600210
PD_0067,Theropithecus,gelada,ssp,Cercopithecidae,MAINLAND_AFRICA,Gelada,LC,Unthreatened,C,M,PASS,PASS,Theropithecus_gelada,1233995,2548735444,256,960400000,29.03,2889614139,NA,NA,2005,PRJEB59576 (this study),ERS14600211
PD_0068,Cercocebus,chrysogaster,ssp,Cercopithecidae,MAINLAND_AFRICA,Golden-bellied_Mangabey,EN,Threatened,C,F,PASS,PASS,Cercocebus_atys,4601133,2382275450,110,172000000,29.71,2848246356,NA,NA,1997,PRJEB59576 (this study),ERS14600212
PD_0069,Nasalis,larvatus,ssp,Cercopithecidae,ASIA,Proboscis_Monkey,EN,Threatened,C,M,PASS,PASS,Rhinopithecus_roxellana,2879849,2492048184,89,140600000,26.9,3038460517,NA,NA,1992,PRJEB59576 (this study),ERS14600213
PD_0070,Macaca,maura,ssp,Cercopithecidae,ASIA,Moor_Macaque,EN,Threatened,C,M,PASS,PASS,Macaca_mulatta,5197283,2464209563,1,1000000,30.89,2955490605,NA,NA,1998,PRJEB59576 (this study),ERS14600214
PD_0071,Macaca,arctoides,ssp,Cercopithecidae,ASIA,Stump-tailed_Macaque,VU,Threatened,C,M,PASS,PASS,Macaca_mulatta,2240018,2369567810,122,595400000,30.79,2955490605,NA,NA,1996,PRJEB59576 (this study),ERS14600215
PD_0072,Alouatta,seniculus,ssp,Atelidae,AMERICAS,Colombian_Red_Howler_Monkey,LC,Unthreatened,W,F,PASS,PASS,Ateles_geoffroyi,5216541,2072844909,41,70600000,27.57,2683028796,"-2.7538,-64.2100",Brazil,NA,PRJEB59576 (this study),ERS12091856
PD_0073,Alouatta,caraya,ssp,Atelidae,AMERICAS,Black-and-gold_Howler_Monkey,NT,Unthreatened,W,M,PASS,PASS,Ateles_geoffroyi,2377095,2055193511,214,642000000,28.53,2683028796,"-12.3013,-63.3236",Brazil,NA,PRJEB59576 (this study),ERS12091835
PD_0074,Ateles,chamek,ssp,Atelidae,AMERICAS,Black-faced_Black_Spider_Monkey,EN,Threatened,W,M,PASS,PASS,Ateles_geoffroyi,5454834,2269390005,80,146000000,39.44,2683028796,"-9.9783,-56.0814",Brazil,NA,PRJEB59576 (this study),ERS12091874
PD_0075,Ateles,paniscus,ssp,Atelidae,AMERICAS,Guiana_Spider_Monkey,VU,Threatened,W,M,PASS,PASS,Ateles_geoffroyi,2618305,2304375454,101,184200000,34.08,2683028796,"-1.4201,-56.7206",Brazil,NA,PRJEB59576 (this study),ERS12091886
PD_0076,Ateles,marginatus,ssp,Atelidae,AMERICAS,White-cheeked_Spider_Monkey,EN,Threatened,W,F,PASS,PASS,Ateles_geoffroyi,4747049,2292986127,64,142400000,41.51,2683028796,"-9.0000,-53.0000",Brazil,NA,PRJEB59576 (this study),ERS12091885
PD_0077,Cebus,unicolor,ssp,Cebidae,AMERICAS,Spixs_White-fronted_Capuchin,VU,Threatened,W,M,PASS,PASS,Cebus_albifrons,4942568,2348588828,9,11600000,30.87,2874442237,NA,Brazil,NA,PRJEB59576 (this study),ERS12091924
PD_0078,Cebus,albifrons,ssp,Cebidae,AMERICAS,Humboldts_White-fronted_Capuchin,LC,Unthreatened,W,M,PASS,PASS,Cebus_albifrons,5206617,2367528707,16,41200000,31.54,2874442237,"-8.6667,-72.7833",Brazil,NA,PRJEB59576 (this study),ERS12091918
PD_0079,Cebus,olivaceus,ssp,Cebidae,AMERICAS,Guinan_Weeper_Capuchin,LC,Unthreatened,W,F,PASS,PASS,Cebus_albifrons,3227683,2366981411,124,261400000,30.79,2874442237,"-1.0482,-61.8671",Brazil,NA,PRJEB59576 (this study),ERS12091922
PD_0080,Chiropotes,albinasus,ssp,Pitheciidae,AMERICAS,White-nosed_Saki,VU,Threatened,W,F,PASS,PASS,Pithecia_pithecia,2085823,2064785497,136,334000000,26.07,2721439713,"-3.6000,-57.5000",Brazil,NA,PRJEB59576 (this study),ERS12092000
PD_0081,Chiropotes,sagulatus,ssp,Pitheciidae,AMERICAS,Reddish-brown_bearded_saki,LC,Unthreatened,W,M,PASS,PASS,Pithecia_pithecia,4415583,2277376963,95,158600000,34.45,2721439713,"-1.4822,-56.8009",Brazil,NA,PRJEB59576 (this study),ERS12091950
PD_0082,Chiropotes,sagulatus,ssp,Pitheciidae,AMERICAS,Reddish-brown_bearded_saki,LC,Unthreatened,W,F,PASS,PASS,Pithecia_pithecia,4706553,2316563343,62,90600000,28.2,2721439713,"-1.4822,-56.8009",Brazil,NA,PRJEB59576 (this study),ERS12091951
PD_0083,Pithecia,pissinattii,ssp,Pitheciidae,AMERICAS,Gray’s_Bald-faced_Saki,DD,DD,W,F,PASS,PASS,Pithecia_pithecia,2959249,2375612060,87,141400000,27.03,2721439713,"-3.5700,-59.0500",Brazil,NA,PRJEB59576 (this study),ERS12091966
PD_0084,Pithecia,chrysocephala,ssp,Pitheciidae,AMERICAS,White-faced_Saki,LC,Unthreatened,W,M,PASS,PASS,Pithecia_pithecia,5329096,2421339378,5,7800000,36,2721439713,"-2.8000,-60.0000",Brazil,NA,PRJEB59576 (this study),ERS12091962
PD_0085,Pithecia,hirsuta,ssp,Pitheciidae,AMERICAS,Monk_Saki,LC,Unthreatened,W,M,PASS,PASS,Pithecia_pithecia,3522498,2384924204,32,92000000,35.58,2721439713,"-2.8895,-68.3681",Brazil,NA,PRJEB59576 (this study),ERS12091963
PD_0086,Pithecia,mittermeieri,ssp,Pitheciidae,AMERICAS,Gray’s_Bald-faced_Saki,DD,DD,W,M,PASS,PASS,Pithecia_pithecia,2338138,2404057968,70,94400000,30.63,2721439713,"-3.3153,-55.3247",Brazil,NA,PRJEB59576 (this study),ERS12091965
PD_0087,Pithecia,albicans,ssp,Pitheciidae,AMERICAS,Buffy_Saki,LC,Unthreatened,W,F,PASS,PASS,Pithecia_pithecia,3579547,2408783772,25,39800000,36.22,2721439713,"-4.9868,-62.9593",Brazil,NA,PRJEB59576 (this study),ERS12091961
PD_0088,Cacajao,calvus,ucayalii,Pitheciidae,AMERICAS,Bald-headed_Uacari,VU,Threatened,W,F,PASS,PASS,Pithecia_pithecia,2945248,2309618809,50,97400000,38.28,2721439713,"-7.4614,-73.6679",Brazil,NA,PRJEB59576 (this study),ERS12091895
PD_0089,Alouatta,macconnelli,ssp,Atelidae,AMERICAS,Guianan_Red_Howler_Monkey,LC,Unthreatened,W,F,PASS,PASS,Ateles_geoffroyi,4894079,2198897789,31,56600000,28.22,2683028796,"-1.4256,-56.7546",Brazil,NA,PRJEB59576 (this study),ERS12091842
PD_0090,Cercopithecus,nictitans,martini,Cercopithecidae,MAINLAND_AFRICA,Putty-nosed_Monkey,NT,Unthreatened,U,M,PASS,PASS,Cercopithecus_albogularis,10272587,2394224746,37,105200000,30.71,2793076453,NA,NA,1988,PRJEB59576 (this study),ERS14600216
PD_0091,Cercopithecus,petaurista,ssp,Cercopithecidae,MAINLAND_AFRICA,Spot-nosed_Monkey,NT,Unthreatened,U,M,PASS,PASS,Cercopithecus_albogularis,8570518,2354175957,29,90200000,27.33,2793076453,NA,NA,1978,PRJEB59576 (this study),ERS14600217
PD_0092,Cercopithecus,pogonias,ssp,Cercopithecidae,MAINLAND_AFRICA,Crowned_Monkey,NT,Unthreatened,W,M,PASS,PASS,Cercopithecus_albogularis,10390415,2378482569,0,0,28.46,2793076453,NA,NA,2001,PRJEB59576 (this study),ERS14600218
PD_0093,Cercopithecus,roloway,ssp,Cercopithecidae,MAINLAND_AFRICA,Roloway_Monkey,CR,Threatened,C,F,PASS,PASS,Cercopithecus_albogularis,10835084,2344538863,1,1000000,35.53,2793076453,NA,Togo,1985,PRJEB59576 (this study),ERS14600219
PD_0094,Cercopithecus,cephus,cephodes,Cercopithecidae,MAINLAND_AFRICA,Moustached_Monkey,LC,Unthreatened,W,M,PASS,PASS,Cercopithecus_albogularis,16871410,2381589433,3,6800000,36.51,2793076453,NA,Gabon,2012,PRJEB59576 (this study),ERS14600220
PD_0095,Cercopithecus,cephus,cephus,Cercopithecidae,MAINLAND_AFRICA,Moustached_Monkey,LC,Unthreatened,W,M,PASS,PASS,Cercopithecus_albogularis,16459745,2369636690,17,54600000,26.59,2793076453,NA,Gabon,2012,PRJEB59576 (this study),ERS14600221
